Gene	Essentiality
b0002	1
b0003	1
b0004	1
b0007	0
b0008	0
b0009	0
b0019	0
b0025	1
b0026	1
b0029	1
b0030	0
b0031	1
b0032	1
b0033	1
b0036	0
b0037	0
b0038	0
b0040	0
b0047	0
b0048	1
b0049	0
b0052	1
b0066	0
b0067	0
b0068	0
b0070	0
b0071	1
b0072	1
b0073	1
b0074	1
b0077	0
b0078	0
b0084	1
b0085	1
b0086	1
b0087	1
b0088	1
b0090	1
b0091	1
b0092	0
b0096	1
b0099	0
b0103	1
b0104	0
b0109	1
b0110	0
b0112	0
b0114	0
b0115	0
b0116	1
b0118	0
b0120	0
b0121	0
b0123	0
b0124	0
b0125	0
b0126	1
b0131	0
b0133	0
b0134	0
b0142	1
b0149	0
b0150	0
b0151	0
b0152	0
b0153	0
b0154	1
b0155	0
b0158	0
b0159	1
b0160	0
b0166	1
b0171	1
b0173	1
b0174	1
b0175	1
b0179	1
b0180	1
b0181	1
b0182	1
b0185	1
b0186	0
b0194	1
b0197	0
b0198	0
b0199	0
b0200	0
b0207	0
b0212	0
b0221	0
b0222	0
b0237	0
b0238	0
b0241	0
b0242	1
b0243	1
b0260	0
b0261	0
b0273	0
b0306	0
b0307	0
b0308	0
b0311	0
b0312	0
b0314	0
b0323	0
b0331	0
b0333	0
b0334	0
b0336	0
b0337	0
b0339	0
b0340	0
b0341	0
b0343	0
b0347	0
b0348	0
b0349	0
b0350	0
b0351	0
b0352	0
b0353	0
b0355	0
b0356	0
b0365	0
b0366	0
b0367	0
b0368	0
b0369	1
b0381	0
b0383	0
b0386	1
b0388	0
b0394	0
b0401	0
b0403	0
b0404	0
b0411	0
b0414	1
b0415	1
b0417	1
b0418	1
b0420	1
b0421	1
b0423	1
b0425	0
b0428	0
b0429	0
b0430	0
b0431	0
b0432	0
b0433	0
b0444	0
b0446	0
b0451	0
b0452	0
b0459	0
b0462	0
b0463	0
b0469	0
b0474	1
b0475	1
b0477	0
b0480	0
b0484	0
b0485	0
b0494	0
b0505	0
b0507	0
b0508	0
b0509	0
b0511	0
b0512	0
b0514	0
b0516	0
b0517	0
b0521	0
b0522	1
b0523	1
b0524	1
b0526	1
b0529	1
b0572	0
b0573	0
b0574	0
b0575	0
b0576	0
b0578	0
b0583	1
b0584	0
b0585	1
b0586	0
b0588	1
b0589	1
b0590	1
b0591	0
b0592	1
b0593	0
b0594	0
b0595	0
b0596	0
b0604	0
b0612	0
b0613	0
b0614	0
b0615	0
b0616	0
b0617	0
b0622	0
b0628	1
b0630	0
b0632	0
b0635	1
b0638	0
b0639	1
b0642	1
b0650	0
b0651	0
b0652	0
b0653	0
b0654	0
b0655	0
b0657	1
b0662	0
b0674	0
b0677	0
b0678	0
b0679	0
b0680	1
b0684	1
b0688	0
b0692	0
b0693	0
b0696	0
b0697	0
b0698	0
b0709	0
b0720	1
b0721	0
b0722	0
b0723	0
b0724	0
b0726	0
b0727	0
b0728	0
b0729	0
b0731	0
b0732	0
b0733	1
b0734	0
b0736	0
b0750	1
b0751	0
b0752	0
b0754	0
b0755	0
b0756	0
b0757	0
b0758	0
b0759	0
b0763	0
b0764	0
b0765	0
b0766	0
b0767	0
b0774	0
b0775	1
b0776	0
b0777	0
b0778	0
b0781	0
b0783	0
b0784	0
b0785	0
b0789	0
b0805	0
b0809	0
b0810	0
b0811	0
b0813	0
b0822	0
b0825	0
b0826	0
b0827	0
b0828	0
b0829	0
b0830	0
b0831	0
b0832	0
b0837	0
b0839	0
b0841	0
b0842	0
b0849	0
b0854	0
b0855	0
b0856	0
b0857	0
b0860	0
b0861	0
b0862	0
b0863	0
b0864	0
b0870	0
b0871	0
b0875	0
b0886	1
b0887	0
b0888	0
b0893	1
b0894	0
b0895	0
b0896	0
b0902	0
b0903	0
b0904	0
b0907	1
b0908	1
b0910	0
b0914	1
b0915	1
b0918	1
b0928	0
b0929	0
b0930	1
b0931	0
b0932	0
b0933	0
b0934	0
b0935	0
b0936	0
b0937	0
b0945	1
b0954	1
b0957	0
b0963	0
b0968	0
b0972	0
b0973	0
b0974	0
b0978	0
b0979	0
b0980	0
b0996	0
b0997	0
b1002	0
b1006	0
b1007	0
b1008	0
b1009	0
b1010	0
b1011	0
b1012	0
b1014	0
b1015	0
b1033	0
b1054	0
b1059	0
b1062	1
b1064	0
b1069	1
b1090	0
b1091	0
b1092	1
b1093	1
b1094	1
b1095	0
b1096	0
b1098	1
b1101	0
b1102	0
b1106	0
b1107	0
b1109	0
b1119	0
b1123	0
b1124	0
b1125	0
b1126	0
b1131	1
b1134	0
b1136	1
b1185	0
b1186	0
b1189	0
b1190	0
b1192	0
b1193	0
b1197	0
b1198	0
b1199	0
b1200	0
b1206	0
b1207	1
b1208	1
b1210	1
b1215	1
b1216	0
b1223	0
b1224	0
b1225	0
b1226	0
b1227	0
b1232	0
b1236	0
b1238	0
b1241	0
b1243	0
b1244	0
b1245	0
b1246	0
b1247	0
b1249	0
b1250	0
b1252	1
b1260	1
b1261	1
b1262	1
b1263	1
b1264	1
b1270	0
b1276	0
b1277	1
b1278	0
b1281	1
b1288	1
b1291	0
b1296	0
b1297	0
b1298	0
b1300	0
b1301	0
b1302	0
b1308	0
b1319	0
b1325	0
b1326	0
b1329	0
b1363	0
b1377	0
b1378	0
b1380	0
b1385	0
b1386	0
b1387	0
b1388	0
b1389	0
b1390	0
b1391	0
b1392	0
b1393	0
b1394	0
b1395	0
b1397	0
b1398	0
b1415	0
b1440	0
b1441	0
b1442	0
b1443	0
b1444	0
b1453	0
b1463	0
b1465	0
b1466	0
b1467	0
b1468	0
b1469	0
b1473	0
b1474	0
b1475	0
b1476	0
b1478	0
b1479	0
b1483	0
b1484	0
b1485	0
b1486	0
b1487	0
b1488	0
b1489	0
b1492	0
b1493	0
b1519	0
b1521	0
b1524	0
b1525	0
b1528	0
b1533	0
b1539	0
b1584	0
b1587	0
b1588	0
b1589	0
b1590	0
b1592	0
b1599	0
b1600	0
b1602	0
b1603	0
b1605	0
b1606	0
b1611	0
b1612	0
b1613	0
b1621	0
b1622	0
b1623	0
b1634	0
b1636	0
b1637	1
b1638	1
b1640	0
b1646	0
b1651	0
b1654	0
b1656	0
b1661	0
b1662	1
b1676	0
b1677	0
b1679	0
b1680	0
b1681	0
b1682	0
b1683	0
b1684	1
b1692	0
b1693	1
b1701	0
b1702	0
b1704	0
b1709	0
b1710	0
b1711	0
b1713	1
b1714	1
b1719	1
b1723	0
b1732	0
b1734	0
b1740	1
b1744	0
b1745	0
b1746	0
b1747	0
b1748	0
b1759	0
b1761	0
b1764	0
b1767	0
b1768	0
b1773	1
b1778	0
b1779	1
b1781	0
b1800	0
b1801	0
b1805	0
b1812	0
b1814	0
b1817	0
b1818	0
b1819	0
b1849	0
b1850	0
b1851	0
b1852	0
b1854	0
b1855	0
b1857	0
b1858	0
b1859	0
b1865	0
b1866	1
b1872	0
b1873	0
b1876	1
b1896	0
b1897	0
b1900	0
b1901	0
b1907	0
b1912	1
b1919	0
b1927	0
b1981	0
b1982	0
b1991	0
b1992	0
b1993	0
b2010	0
b2019	1
b2020	1
b2021	1
b2022	1
b2023	1
b2024	1
b2025	1
b2026	1
b2027	0
b2028	0
b2029	0
b2032	0
b2033	0
b2034	0
b2035	0
b2036	0
b2037	0
b2038	0
b2039	0
b2040	0
b2041	0
b2045	0
b2048	0
b2049	0
b2051	0
b2052	0
b2053	0
b2065	0
b2066	0
b2091	0
b2092	0
b2093	0
b2095	0
b2096	0
b2097	0
b2103	0
b2104	0
b2114	1
b2128	0
b2129	0
b2130	0
b2131	0
b2132	0
b2133	0
b2134	0
b2143	0
b2146	0
b2147	0
b2148	0
b2149	0
b2150	0
b2153	1
b2154	0
b2155	0
b2156	0
b2162	0
b2167	0
b2168	0
b2169	0
b2170	0
b2174	0
b2197	0
b2198	0
b2199	0
b2200	0
b2201	0
b2202	0
b2203	0
b2204	0
b2205	0
b2206	0
b2210	0
b2215	0
b2221	0
b2222	0
b2223	0
b2224	0
b2232	1
b2234	1
b2235	1
b2239	0
b2240	0
b2241	0
b2242	0
b2243	0
b2251	0
b2253	0
b2254	0
b2255	0
b2256	0
b2257	0
b2258	0
b2260	0
b2261	0
b2262	0
b2263	0
b2264	0
b2265	0
b2276	0
b2277	0
b2278	0
b2279	0
b2280	0
b2281	0
b2282	0
b2283	0
b2284	0
b2285	0
b2286	0
b2287	0
b2288	0
b2290	0
b2291	0
b2296	0
b2297	0
b2303	0
b2306	0
b2307	0
b2308	0
b2309	0
b2310	0
b2311	0
b2312	1
b2315	1
b2316	1
b2320	1
b2323	1
b2328	0
b2329	1
b2341	0
b2342	0
b2344	0
b2366	0
b2373	0
b2374	0
b2378	0
b2379	0
b2388	0
b2392	0
b2393	0
b2400	1
b2406	0
b2407	0
b2411	1
b2414	1
b2415	1
b2416	1
b2417	0
b2418	0
b2421	0
b2422	1
b2423	1
b2424	1
b2425	1
b2428	0
b2429	0
b2435	0
b2436	0
b2440	0
b2441	0
b2458	0
b2463	0
b2464	0
b2465	0
b2467	0
b2470	0
b2472	1
b2476	1
b2478	1
b2480	0
b2481	0
b2482	1
b2483	0
b2484	0
b2485	0
b2486	0
b2487	0
b2488	0
b2489	0
b2490	0
b2492	0
b2497	0
b2498	0
b2499	1
b2500	0
b2501	0
b2502	0
b2507	1
b2508	1
b2514	1
b2515	1
b2518	0
b2519	0
b2521	0
b2523	0
b2528	0
b2529	0
b2530	1
b2533	1
b2536	0
b2538	0
b2539	0
b2540	0
b2541	0
b2542	0
b2551	1
b2552	0
b2557	1
b2558	0
b2563	1
b2564	1
b2574	1
b2578	0
b2579	0
b2582	0
b2585	1
b2587	0
b2599	1
b2600	1
b2601	0
b2615	1
b2661	0
b2662	0
b2663	0
b2675	0
b2676	0
b2677	0
b2678	0
b2679	0
b2682	0
b2683	0
b2687	0
b2688	0
b2690	0
b2697	1
b2701	0
b2702	0
b2703	0
b2704	0
b2705	0
b2708	0
b2710	0
b2711	0
b2715	0
b2719	0
b2720	0
b2721	0
b2722	0
b2723	0
b2724	0
b2738	0
b2744	0
b2746	1
b2747	1
b2750	1
b2751	1
b2752	1
b2762	1
b2763	1
b2764	1
b2765	0
b2779	1
b2780	1
b2781	0
b2784	0
b2787	0
b2788	0
b2789	0
b2794	0
b2796	0
b2797	0
b2799	0
b2800	0
b2801	0
b2802	0
b2803	0
b2810	0
b2813	0
b2817	0
b2818	1
b2835	0
b2836	0
b2838	1
b2841	0
b2866	0
b2867	0
b2868	0
b2871	0
b2874	0
b2877	0
b2882	0
b2883	0
b2889	0
b2890	0
b2893	0
b2895	0
b2901	0
b2903	0
b2904	0
b2905	0
b2907	0
b2912	0
b2913	1
b2914	0
b2917	0
b2919	0
b2920	0
b2923	0
b2925	1
b2926	1
b2927	0
b2930	0
b2935	0
b2937	0
b2938	0
b2942	1
b2943	0
b2947	0
b2954	0
b2957	0
b2963	0
b2964	0
b2965	0
b2975	0
b2976	0
b2979	0
b2987	0
b2988	0
b2994	0
b2995	0
b2996	0
b2997	0
b3001	0
b3005	0
b3006	0
b3008	1
b3012	0
b3018	1
b3028	0
b3029	0
b3034	0
b3035	0
b3040	0
b3041	1
b3052	0
b3057	0
b3058	1
b3059	0
b3061	0
b3062	0
b3063	0
b3073	0
b3089	0
b3091	0
b3092	0
b3093	0
b3114	0
b3115	0
b3116	0
b3117	0
b3124	0
b3125	0
b3126	0
b3127	0
b3128	0
b3132	0
b3137	0
b3161	0
b3172	1
b3176	1
b3177	1
b3182	0
b3187	1
b3189	1
b3196	0
b3197	0
b3198	0
b3199	1
b3200	1
b3201	1
b3212	0
b3213	0
b3222	0
b3223	0
b3224	0
b3225	0
b3236	0
b3255	1
b3256	1
b3258	0
b3265	0
b3266	0
b3281	1
b3288	1
b3290	0
b3350	0
b3359	0
b3360	0
b3365	0
b3366	0
b3367	0
b3368	1
b3370	0
b3371	0
b3374	0
b3380	0
b3384	1
b3385	0
b3386	0
b3389	1
b3390	0
b3396	0
b3397	0
b3403	0
b3409	0
b3412	0
b3415	0
b3416	0
b3417	0
b3425	0
b3426	0
b3428	0
b3429	0
b3430	0
b3431	0
b3432	0
b3433	1
b3437	0
b3447	0
b3449	0
b3450	0
b3451	0
b3452	0
b3453	0
b3454	0
b3455	0
b3456	0
b3457	0
b3458	0
b3460	0
b3469	0
b3475	0
b3476	0
b3477	0
b3478	0
b3479	0
b3480	0
b3493	0
b3496	0
b3500	0
b3502	0
b3503	0
b3517	0
b3519	0
b3526	0
b3528	0
b3540	0
b3541	0
b3542	0
b3543	0
b3544	0
b3546	0
b3551	0
b3553	0
b3559	1
b3560	1
b3564	0
b3565	0
b3566	0
b3567	0
b3568	0
b3571	0
b3572	0
b3575	0
b3577	0
b3578	0
b3579	0
b3580	0
b3581	0
b3583	0
b3588	0
b3591	0
b3599	0
b3600	0
b3603	0
b3605	0
b3607	1
b3608	1
b3610	0
b3612	0
b3616	0
b3617	0
b3619	0
b3620	0
b3621	0
b3622	0
b3623	1
b3624	0
b3625	0
b3626	0
b3627	0
b3628	0
b3629	0
b3630	0
b3631	0
b3632	0
b3633	1
b3634	1
b3639	1
b3640	1
b3642	1
b3648	1
b3650	1
b3653	0
b3654	0
b3665	0
b3666	0
b3670	0
b3671	0
b3679	0
b3691	0
b3693	0
b3708	0
b3714	0
b3722	0
b3725	0
b3726	0
b3727	0
b3728	0
b3729	1
b3730	1
b3731	0
b3732	0
b3733	0
b3734	0
b3735	0
b3736	0
b3737	0
b3738	0
b3739	0
b3744	0
b3747	0
b3748	0
b3749	0
b3750	0
b3751	0
b3752	0
b3770	1
b3771	1
b3772	1
b3774	1
b3779	0
b3781	0
b3784	0
b3785	0
b3786	0
b3787	0
b3788	0
b3789	0
b3790	0
b3791	0
b3792	0
b3793	1
b3794	0
b3803	0
b3804	1
b3805	1
b3806	0
b3807	0
b3809	1
b3816	0
b3821	0
b3823	0
b3824	0
b3825	0
b3826	0
b3829	1
b3831	0
b3833	0
b3835	1
b3843	1
b3844	0
b3845	0
b3846	0
b3849	0
b3850	1
b3856	0
b3857	0
b3860	0
b3867	0
b3870	1
b3875	0
b3882	0
b3892	0
b3893	0
b3894	0
b3907	0
b3908	0
b3909	0
b3915	0
b3916	1
b3917	0
b3918	0
b3919	1
b3924	0
b3925	0
b3926	0
b3927	0
b3930	0
b3939	1
b3940	1
b3941	1
b3942	0
b3945	0
b3946	0
b3951	0
b3952	0
b3956	1
b3957	1
b3958	1
b3959	1
b3960	1
b3962	0
b3966	1
b3967	1
b3972	1
b3974	1
b3990	1
b3991	1
b3992	1
b3993	1
b3994	1
b3996	0
b3997	1
b4005	1
b4006	1
b4013	1
b4014	0
b4015	0
b4019	0
b4024	0
b4025	0
b4031	0
b4032	0
b4033	0
b4034	0
b4035	0
b4036	0
b4039	0
b4040	1
b4041	1
b4042	0
b4053	0
b4054	0
b4055	0
b4067	0
b4069	0
b4070	0
b4071	0
b4072	0
b4073	0
b4077	0
b4079	0
b4084	1
b4085	0
b4086	0
b4087	0
b4088	0
b4090	0
b4094	0
b4111	0
b4115	0
b4117	0
b4119	0
b4120	0
b4122	0
b4123	0
b4129	0
b4130	0
b4131	0
b4132	0
b4136	0
b4138	0
b4139	0
b4151	0
b4152	0
b4153	0
b4154	0
b4160	1
b4161	0
b4169	0
b4177	1
b4192	0
b4193	0
b4194	0
b4195	0
b4196	0
b4197	0
b4198	0
b4208	0
b4209	0
b4213	0
b4214	1
b4219	0
b4226	1
b4227	0
b4230	0
b4231	0
b4232	0
b4233	0
b4237	0
b4238	0
b4239	0
b4240	0
b4242	0
b4244	0
b4245	1
b4258	1
b4260	0
b4261	1
b4262	1
b4265	0
b4266	0
b4267	0
b4268	0
b4287	0
b4288	0
b4289	0
b4290	0
b4291	0
b4301	0
b4311	0
b4321	0
b4322	0
b4323	0
b4356	0
b4358	0
b4367	0
b4374	0
b4381	0
b4382	0
b4383	0
b4384	0
b4386	0
b4388	1
b4390	0
b4392	0
b4394	0
b4395	0
b4407	1
b4460	0
b4467	0
b4468	0
b4471	0
b4474	0
b4476	0
b4477	0
b4478	0
b4481	0
b4485	0
b4513	0
b4544	0
