Growth,Target,Condition
0.013397647495076931,-1.2343580362361986e-11,Wild-type
0.07678632296095528,1.376133664427013e-11,Wild-type
0.007622649762767617,1.7253067584401518e-11,Wild-type
0.08082666165091736,1.5243943458451492e-11,Wild-type
0.09150775322303767,3.969299270073038e-12,Wild-type
0.13324813276517594,5.680255686651025e-12,Wild-type
0.09505804316474577,7.951188925203396e-12,Wild-type
0.06142587302154025,4.214489120272594e-14,Wild-type
0.04447321822684257,-6.874101679975444e-13,Wild-type
0.04171070173458594,-1.3197480417904757e-11,Wild-type
0.05152461752311202,-1.63998673785504e-11,Wild-type
0.04750269230645546,-2.2411861282698912e-11,Wild-type
0.0780221788030175,-2.280813514566766e-11,Wild-type
0.07707823104578078,-1.9594871457656784e-11,Wild-type
0.20215178711999154,-2.6219081134609483e-11,Wild-type
0.08316877874155855,-1.8698646689489256e-11,Wild-type
0.09993915967126937,-1.4735984126173992e-11,Wild-type
0.0910397967478738,-1.629680641900797e-11,Wild-type
0.0873392435214258,-7.325211381566715e-12,Wild-type
0.092397817329695,-1.0464356698994767e-11,Wild-type
0.09861660662123493,-8.61168878514677e-12,Wild-type
0.11259021879509247,-5.346393830424729e-12,Wild-type
0.08763915821963175,2.3065528045349237e-12,Wild-type
0.10132793889340248,-4.611660816198529e-12,Wild-type
0.16271045910207751,-9.543622182212215e-12,Wild-type
0.0390775208954852,2.6559313148642162e-12,Wild-type
0.020007966424213045,-8.659073091047218e-14,Wild-type
0.09428294052419438,-6.196298211790061e-12,Wild-type
0.10374993140866019,-7.284610094670873e-12,Wild-type
0.046958688953653425,1.6941771784150557e-12,Wild-type
0.05978291425893014,-4.747803850248656e-12,Wild-type
0.1370616008297236,-7.702731851778385e-12,Wild-type
0.18305744795881057,-5.527594151924545e-12,Wild-type
0.1013268061818318,-2.5864970947500792e-12,Wild-type
0.06458384146462917,7.344215513152596e-13,Wild-type
0.04495460744064626,7.898369971848505e-12,Wild-type
0.024147094053204594,-1.3617768206945058e-12,Wild-type
0.07474024963038478,-8.12366084217337e-13,Wild-type
0.09534456760372,-1.6552804740386114e-12,Wild-type
