reaction,correlation,abs_correlation
PHA_A,1.0,1.0
H2Ot,1.0,1.0
CO2t,1.0,1.0
EX_co2_e,-1.0,1.0
EX_phb_c,0.9999999999999999,0.9999999999999999
CYTBD,-0.9999999999999999,0.9999999999999999
PHA_C,0.9999999999999999,0.9999999999999999
PHA_B,0.9999999999999999,0.9999999999999999
O2t,-0.9999999999999999,0.9999999999999999
EX_o2_e,0.9999999999999999,0.9999999999999999
EX_h2o_e,-0.9999999999999998,0.9999999999999998
FBP,-0.9986294409229044,0.9986294409229044
ATPS4r,-0.9983208249516512,0.9983208249516512
NADH16,-0.9982025027851816,0.9982025027851816
PFK,-0.9944539498370045,0.9944539498370045
NADTRHD,-0.9669777735839592,0.9669777735839592
PGI,0.9209914300352022,0.9209914300352022
G6PDH2r,-0.9209914300352022,0.9209914300352022
PGL,-0.9209914300352021,0.9209914300352021
GND,-0.9209914300352021,0.9209914300352021
RPE,-0.920991430035202,0.920991430035202
RPI,0.9209914300352019,0.9209914300352019
GAPD,0.9209914300352019,0.9209914300352019
PGK,-0.9209914300352019,0.9209914300352019
TALA,-0.9209914300352019,0.9209914300352019
TKT1,-0.9209914300352019,0.9209914300352019
TKT2,-0.9209914300352019,0.9209914300352019
PGM,-0.9209914300352019,0.9209914300352019
ENO,0.9209914300352019,0.9209914300352019
PYK,0.9209914300352018,0.9209914300352018
PDH,0.9209914300352017,0.9209914300352017
TPI,0.9209914300352015,0.9209914300352015
FBA,0.9209914300352015,0.9209914300352015
CS,-0.8644189742733357,0.8644189742733357
MDH,-0.8644189742733352,0.8644189742733352
ACONTb,-0.8644189742733352,0.8644189742733352
ACONTa,-0.8644189742733352,0.8644189742733352
FRD7,0.8644189742733348,0.8644189742733348
AKGDH,-0.8644189742733347,0.8644189742733347
FUM,-0.8644189742733347,0.8644189742733347
ICDHyr,-0.8644189742733345,0.8644189742733345
SUCOAS,0.8644189742733345,0.8644189742733345
THD2,0.4826885671699603,0.4826885671699603
ATPM,-6.50347506058888e-17,6.50347506058888e-17
PFL,,
ACALD,,
AKGt2r,,
PIt2r,,
ALCD2x,,
ACALDt,,
ACKr,,
PPC,,
PPCK,,
ACt2r,,
PPS,,
ADK1,,
PTAr,,
BIOMASS_Ecoli_core_w_GAM,,
PYRt2,,
SUCCt2_2,,
D_LACt2,,
SUCCt3,,
ETOHt2r,,
SUCDi,,
EX_ac_e,,
EX_acald_e,,
EX_akg_e,,
EX_etoh_e,,
EX_for_e,,
EX_fru_e,,
EX_fum_e,,
EX_glc__D_e,,
EX_gln__L_e,,
EX_glu__L_e,,
EX_h_e,,
EX_lac__D_e,,
EX_mal__L_e,,
EX_nh4_e,,
EX_pi_e,,
EX_pyr_e,,
EX_succ_e,,
FORt2,,
FORt,,
FRUpts2,,
FUMt2_2,,
GLCpts,,
GLNS,,
GLNabc,,
GLUDy,,
GLUN,,
GLUSy,,
GLUt2r,,
ICL,,
LDH_D,,
MALS,,
MALt2_2,,
ME1,,
ME2,,
NH4t,,
