,p1k_00001,p1k_00002,p1k_00106,p1k_00107
ALATA_L2,0.0,0.0,0.0,0.0
ALAabc,0.0,0.0,0.0,0.0
ALAt2r,0.0,0.0,0.0,0.0
ALCD19,0.0,0.0,0.0,0.0
ALDD19xr,0.0,0.0,0.0,0.0
ALDD2x,0.0,0.0,0.0,0.0
ALLTAHr,0.0,0.0,0.0,0.0
ALLTN,0.0,0.0,0.0,0.0
ALLTNt2r,0.0,0.0,0.0,0.0
ABTA,0.0,0.0,0.0,0.0
ABUTD,0.0,0.0,0.0,0.0
ALTRH,0.0,0.0,0.0,0.0
AMALT1,0.0,0.0,0.0,0.0
AMALT2,0.0,0.0,0.0,0.0
AMALT3,0.0,0.0,0.0,0.0
AMALT4,0.0,0.0,0.0,0.0
AMANAPEr,0.0,0.0,0.0,0.0
AMANK,0.0,0.0,0.0,0.0
ABUTt2r,17.109249155477205,14.746453018782896,18.410383600255628,16.777697001041393
AMAOTr,0.0,0.0,0.0,0.0
AMMQT8_2,0.0,0.0,0.0,0.0
ACACCT,0.0,0.0,0.0,0.0
ACACT1r,0.0,0.0,0.0,0.0
12PPDt,0.0,0.0,0.0,0.0
AMPMS,0.0,0.0,0.0,0.0
AMPN,0.0,0.0,0.0,0.0
ACACt2,0.0,0.0,0.0,0.0
ANPRT,0.04032600967750752,0.04032600967750752,0.04032600967750752,0.04032600967750752
ACALD,0.0,0.0,0.0,0.0
ANS,0.04032600967750752,0.04032600967750752,0.04032600967750752,0.04032600967750752
AOXSr,0.0,0.0,0.0,0.0
ACALDt,0.0,0.0,0.0,0.0
ACBIPGT,0.0,0.0,0.0,0.0
ACCOAC,1.722657683073121,1.7226576830731213,1.722657683073121,1.722657683073121
ACCOAL,3.1262729147144377,1.927821009100255,3.459048744165398,3.27535107938826
ACGAMT,0.0,0.0,0.0,0.0
2DGLCNRx,0.0,0.0,0.0,0.0
2DGLCNRy,0.0,0.0,0.0,0.0
ACGApts,0.0,0.0,0.0,0.0
ACGK,0.24120928010805426,0.24120928010805426,0.24120928010805426,0.24120928010805426
ACGS,0.24120928010805426,0.24120928010805426,0.24120928010805426,0.24120928010805426
ACHBS,0.2061107161294829,0.2061107161294829,0.2061107161294829,0.2061107161294829
AP4AH,0.0,0.0,0.0,0.0
ACKr,-3.3405847851869366,-3.3405847851781685,-3.3405847851810826,-3.340584785182415
ACLS,0.619869764201865,0.6198697642018649,0.6198697642018934,0.6198697642018939
AP5AH,0.0,0.0,0.0,0.0
ACMAMUT,0.0,0.0,0.0,0.0
2DGULRx,0.0,0.0,0.0,0.0
APRAUR,7.467779568059996e-06,7.467779568059996e-06,7.467779569908801e-06,7.467779569908801e-06
2DGULRy,0.0,0.0,0.0,0.0
ARAI,0.0,0.0,0.0,0.0
ACMANApts,0.0,0.0,0.0,0.0
ACNAMt2,0.0,0.0,0.0,0.0
3HCINNMH,0.0,0.0,0.0,0.0
ARBabc,0.0,0.0,0.0,0.0
3HPPPNH,0.0,0.0,0.0,0.0
4HTHRS,0.0,0.0,0.0,0.0
ACNML,0.0,0.0,0.0,0.0
ACOATA,0.23993975758116975,0.23993975758116973,0.23993975758116975,0.23993975758116975
ACODA,0.24120928010805426,0.24120928010805426,0.24120928010805426,0.24120928010805426
ACONMT,0.0,0.0,0.0,0.0
ARBt2r,0.0,0.0,0.0,0.0
ACONT,3.7764112471463633,3.776411247148614,4.125319649368678,4.125319649368347
ACOTA,-0.24120928010805426,-0.24120928010805426,-0.24120928010805426,-0.24120928010805426
ACPS1,0.0,0.0,0.0,0.0
5DGLCNR,0.0,0.0,0.0,0.0
A5PISO,0.03136467419361696,0.03136467419361696,0.03136467419361696,0.03136467419361696
AACPS1,0.0,0.0,0.0,0.0
AACPS2,0.0,0.0,0.0,0.0
ACS,0.0,0.0,0.0,0.0
ACt2r,-3.768383258850775,-3.768383258842007,-3.768383258844922,-3.768383258846254
ADA,0.0,0.0,0.0,0.0
ADCL,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
ADCS,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
AACPS3,0.0,0.0,0.0,0.0
AACPS4,0.0,0.0,0.0,0.0
ADD,0.0,0.0,0.0,0.0
ARGDC,0.0,0.0,0.0,0.0
ADEt2,0.0,0.0,0.0,0.0
AACPS5,0.0,0.0,0.0,0.0
AADDGT,0.0,0.0,0.0,0.0
ADHEr,0.0,0.0,0.0,0.0
ARGORNt7,0.0,0.0,0.0,0.0
ADK1,907.131806032262,933.595742062074,-717.743446475596,-722.956399469015
ADK3,-905.4071253277052,-931.4849771537486,719.4681271801553,724.6810801735734
ADK4,0.0,0.0,0.0,0.0
AB6PGH,0.0,0.0,0.0,0.0
ADMDC,0.0052274456989361605,0.0052274456989361605,0.0052274456989361605,0.0052274456989361605
ARGSL,0.2098446059144373,0.2098446059144373,0.2098446059144373,0.2098446059144373
ADNCYC,0.0,0.0,0.0,0.0
ARGSS,0.2098446059144373,0.2098446059144373,0.2098446059144373,0.2098446059144373
ADNK1,0.0052274456989361605,0.39131164946322133,0.005227445698928079,0.005227445698926895
ADNt2_copy1,7.117897826972579,6.173400879177556,6.6344062474663685,6.36759431302592
C120SN,0.03136467419361696,0.03136467419361696,0.03136467419361696,0.03136467419361696
ARGabc,0.0,0.0,0.0,0.0
ADNt2_copy2,-7.117897826972579,-6.173400879177556,-6.6344062474663685,-6.36759431302592
ADOCBIK,0.0,0.0,0.0,0.0
ASAD,-0.37309026731264366,-0.3730902673126437,-0.37309026731264466,-0.37309026731264366
ADOCBLS,0.0,0.0,0.0,0.0
ADPT,0.0,0.0,0.0,0.0
ASNN,0.0,0.0,0.0,0.0
ADSK,0.17404332387833724,0.1740433238783372,0.1740433238783382,0.17404332387833768
ADSL1r,0.21619147177106862,0.21619147177225334,0.21619147177127485,0.21619147177093934
ADSL2r,0.35689190664771847,0.3568919066489032,0.35689190664790416,0.35689190664756865
ADSS,0.21619147177106862,0.21619147177225334,0.21619147177127485,0.21619147177093934
AGDC,0.0,0.0,0.0,0.0
C140SN,0.01031897780969998,0.01031897780969998,0.01031897780969998,0.01031897780969998
C141SN,0.01011510742744147,0.01011510742744147,0.01011510742744147,0.01011510742744147
C160SN,0.07282877347757859,0.07282877347757859,0.07282877347757859,0.07282877347757859
C161SN,0.01416115039841806,0.01416115039841806,0.01416115039841806,0.01416115039841806
C181SN,0.10115107427441469,0.10115107427441469,0.10115107427441469,0.10115107427441469
CADVt,0.0,0.0,0.0,0.0
AGMHE,0.018818804516170178,0.018818804516170178,0.018818804516170178,0.018818804516170178
ASNS1,0.0,0.0,0.0,0.0
AGMT,0.0,0.0,0.0,0.0
AGPR,-0.24120928010805426,-0.24120928010805426,-0.24120928010805426,-0.24120928010805426
ASNS2,0.17101215215091153,0.17101215215091153,0.17101215215091153,0.17101215215091153
ASNabc,0.0,0.0,0.0,0.0
ASNt2r,0.0,0.0,0.0,0.0
AHCi,0.0,0.0,0.0,0.0
AHCYSNS,0.0,0.0,0.0,0.0
CAT,0.0,0.0,0.0,0.0
CBIAT_DELETE,0.0,0.0,0.0,0.0
ASP1DC,4.4059899462212115e-05,4.4059899462156604e-05,4.4059899462212115e-05,4.4059899462656205e-05
CBL1abc,0.0,0.0,0.0,0.0
CBLAT_DELETE,0.0,0.0,0.0,0.0
AICART,0.4241019227768977,0.4241019227780824,0.42410192277708336,0.42410192277674785
AIRC2,0.35689190664771847,0.3568919066489032,0.35689190664790416,0.35689190664756865
AIRC3,-0.35689190664771847,-0.3568919066489032,-0.35689190664790416,-0.35689190664756865
AKGDH,1.2024976370102507,1.202497637011901,3.29594805033458,3.2959480503342498
ASPCT,0.23530973424783155,0.2353097342478315,0.2353097342478316,0.23530973424783155
AKGt2r,0.0,0.0,0.0,0.0
ALAALAr,0.020611071612948288,0.020611071612948288,0.020611071612948288,0.020611071612948288
ALAR_copy1,-33.89491405624274,-37.62348696368452,-65.67370097325775,-73.6956611149533
ALAR_copy2,33.936136199468635,37.664709106910415,65.71492311648365,73.73688325817919
ALATA_D2,0.0,0.0,0.0,0.0
CBMKr,0.44515434016226885,0.4451543401622688,0.4451543401622689,0.44515434016226885
CBPS,0.0,0.0,0.0,0.0
CDAPPA_EC,0.0,0.0,0.0,0.0
CDPMEK,0.0,0.0,0.0,0.0
ALATA_L,-312.3543616585365,-312.3519603513478,-189.75142795673958,-184.814005637381
CHLabc,0.0,0.0,0.0,0.0
ASPK,0.37309026731264366,0.3730902673126437,0.37309026731264466,0.37309026731264366
CHLt2,0.0,0.0,0.0,0.0
CHORM,0.22926083279620016,0.22926083279620016,0.22926083279620016,0.22926083279620016
DASYN_EC,0.11369694395186149,0.11369694395186149,0.11369694395186149,0.11369694395186149
ASPO3_1,0.0,0.0,0.0,0.0
CHORS,0.3069257403232517,0.3069257403232517,0.3069257403232499,0.3069257403232499
CHRPL,0.0,0.0,0.0,0.0
ASPO4_1,0.002038703821681559,0.002038703822576121,0.002038703822629051,0.002038703822634602
CINNDO,0.0,0.0,0.0,0.0
CITL,0.0,0.0,0.0,0.0
