Growth,Target,Condition
0.17361438800517223,-5.002961974322842e-12,Wild-type
0.1192422888399314,-2.2293212664856974e-12,Wild-type
0.11765490649809901,-1.0425129551218416e-12,Wild-type
0.06366362626607158,1.7389243101923092e-13,Wild-type
0.048214297574937615,7.304459913052953e-12,Wild-type
0.137545708597028,1.2634838855017375e-11,Wild-type
0.07456540174872944,5.632695218014214e-12,Wild-type
0.07316149622890518,8.580084704335829e-12,Wild-type
0.09432202465807933,8.216205435479203e-12,Wild-type
0.04365268068941577,4.391209599430755e-12,Wild-type
0.0815553381587416,4.390382805375164e-12,Wild-type
0.1698296367052429,-2.1951934808742475e-13,Wild-type
0.20307444932341517,-3.556106756092057e-12,Wild-type
0.08153817143506778,-3.0227586405240693e-12,Wild-type
0.12528061798039064,-8.437265894971448e-12,Wild-type
0.07516104399494215,-1.1572007745102087e-11,Wild-type
0.030901575423040447,-9.088670651560678e-12,Wild-type
0.08443327444189931,-1.2154337869107617e-11,Wild-type
0.09425295103279198,-1.0346637316433283e-11,Wild-type
0.07134232909877652,-1.8251799994242694e-11,Wild-type
0.05254280562658466,-1.7773107986746736e-11,Wild-type
0.061000433234430586,-2.096310622581393e-11,Wild-type
0.04471747979849074,-1.9698207608406446e-11,Wild-type
0.09663866808996643,-2.6309410482642157e-11,Wild-type
0.08610139411273812,-1.024950855513558e-11,Wild-type
0.021127970985879166,-3.579416385830754e-12,Wild-type
0.06959586812148243,-1.6621447603781595e-12,Wild-type
0.07160427649738527,-5.164004695491836e-12,Wild-type
0.04910648686445872,-3.5667269526438727e-12,Wild-type
0.07526097198993627,-7.2058191078761944e-12,Wild-type
0.08091623844464146,-5.973323755473663e-12,Wild-type
0.05887588371451537,-8.431327252328865e-13,Wild-type
0.07553279958178774,4.481873474428157e-12,Wild-type
0.09129996351002363,5.874403906532712e-12,Wild-type
0.08026850676920151,9.698266103700973e-12,Wild-type
0.1292569533216086,1.2421664892589975e-11,Wild-type
0.16946536588091976,1.2054544663856255e-11,Wild-type
0.14052641001238209,1.5368152236336468e-11,Wild-type
0.11383347642844667,1.9594513352487894e-11,Wild-type
0.1443362562588882,2.324610145098724e-11,Wild-type
0.0854930375451898,1.9792302039299255e-11,Wild-type
0.03617193159534125,2.864263594427016e-11,Wild-type
0.07358591801806169,1.5076285790593644e-11,Wild-type
0.07325149099837115,1.5966202220369364e-11,Wild-type
0.026171540664244358,1.1031299923663841e-11,Wild-type
0.06474483231383313,1.6692965406576004e-11,Wild-type
0.07685245463895612,3.1501501030452255e-11,Wild-type
0.06906386288618119,3.119669330500279e-11,Wild-type
0.031497968774931585,2.534974774773347e-11,Wild-type
0.040456533184262365,2.897683858235062e-11,Wild-type
0.00747653264585443,-4.945116376519385e-13,Wild-type
0.022026720383681538,1.2203204381538635e-11,Wild-type
0.12020931150471874,1.5612474302414377e-11,Wild-type
0.11262723459986639,2.421237624546809e-11,Wild-type
0.07486689960058439,1.8439328849288843e-11,Wild-type
0.0768853333623625,2.0342767621315006e-11,Wild-type
0.050761928990145186,1.575965498368217e-11,Wild-type
0.07402849963376645,1.7846384594096404e-11,Wild-type
0.07534339908372578,1.8965434673159118e-11,Wild-type
0.07108321905937126,1.664451200748474e-11,Wild-type
0.13420743561962217,2.4357513272120782e-11,Wild-type
0.1644536430352711,1.965582093029144e-11,Wild-type
0.11714277579210867,2.770554213150537e-11,Wild-type
0.15413535861336558,2.9352336078373197e-11,Wild-type
0.11573043266976518,2.8281698267978975e-11,Wild-type
0.08457370171594492,2.7793666311458596e-11,Wild-type
0.08730662303652562,2.611067124619752e-11,Wild-type
0.029370987056290102,3.657394215030983e-11,Wild-type
0.08198399522477264,3.0154544545206956e-11,Wild-type
0.06308357236616158,2.7189384867108894e-11,Wild-type
0.07280126487288496,2.8777258096562574e-11,Wild-type
0.03329548805770689,2.953532372411171e-11,Wild-type
0.04685624748642707,2.635952495586419e-11,Wild-type
0.159445271171862,2.6452969636406427e-11,Wild-type
0.06400723873370052,2.5773587290753638e-11,Wild-type
0.011963151304913523,8.755022591288302e-13,Wild-type
0.13531421923001724,2.566060845843792e-12,Wild-type
0.11488459766710526,-2.939737800274247e-12,Wild-type
0.10613240114626568,5.594170093785207e-12,Wild-type
0.04439715329123094,-6.047999500333279e-12,Wild-type
0.08776379258479047,-2.0224625183129787e-12,Wild-type
0.0841389880358362,-1.6711947902523777e-12,Wild-type
0.07660388965065659,-3.036125357434863e-12,Wild-type
0.08602797859395891,-8.057718763292008e-12,Wild-type
0.11200372779919639,-5.508880810707394e-12,Wild-type
