,p1k_00001,p1k_00002,p1k_00106,p1k_00107
b0002,1226.7020208196545,1322.04485425039,909.9177142033748,878.3452066292285
b0003,968.9492813442009,1055.8753764119003,733.667101889508,737.8324688293899
b0004,980.0381921400925,1031.5786538845327,754.6356890312758,746.289389357784
b0005,130.4646054509947,150.89999386656712,58.97197608682501,65.0217470148118
b0006,92.87270885016817,87.59031576168005,67.47751695309462,69.04692799227888
b0007,8.243220749139933,7.641742363677482,6.717295109877479,7.000821084173507
b0008,1623.364618664028,1666.3295091290006,1450.3343076455762,1392.4618244188011
b0009,56.44175262599657,69.05824074655268,83.86116034147484,85.91205569029972
b0010,25.177448069968385,27.46709363419511,22.967091236270537,23.93375023966976
b0011,3.1072883353123233,4.502997685038767,3.736385067026518,3.920807813750392
b0012,1.0,1.5146379314064862,1.0,1.7572464702390074
b0013,1.8255713972378724,2.852696553507592,1.904527286768137,1.3028985878882011
b0014,756.1362037120041,764.6502061833013,323.89076155065,278.21620067724973
b0015,173.9429737853743,209.76007859347203,102.92127090984627,92.86986483023604
b0016,55.52442902294558,63.697049142838864,41.26487368307657,39.02561114453865
b0018,12.145213860846662,10.528153706851622,9.14074557439281,15.604039063045818
b0019,58.44512543770656,46.00766691555956,50.28394817335123,48.82916651088365
b0020,54.88083523367603,57.869195551040164,32.94299175772225,31.059174440942755
b0021,2.658513967168242,3.4812900287037567,5.118829609026593,5.381211720993583
b0022,17.354389906408013,23.655256773276896,12.5032274432139,20.556713182166867
b0023,4773.177925129592,4004.7193582336754,3277.6500889872764,3438.6580215531844
b0024,10.923820560862955,10.13658574246374,7.691023762267732,9.962478771868808
b0025,276.0809153607942,301.5616638834254,251.57422300225002,259.6310206039198
b0026,471.85264531330284,509.2189333201452,429.6245594529827,416.83718143495497
b0027,199.24971328604292,199.07010431974024,219.81337355254777,222.8043752198089
b0028,164.83464382483652,154.95908359826433,169.78479163970013,174.1065431336119
b0029,121.5933235342688,123.55850705334642,135.30946169538126,132.8325494929707
b0030,22.742302447132754,21.2278017170179,85.47691721415087,80.1012214443286
b0031,340.4409112846694,359.1316532360595,212.6890957257169,218.1418072165522
b0032,1175.6124195974992,1202.592232480503,1068.0115620054894,1095.5631950919503
b0033,892.3576767411702,974.9853492861305,914.2188331990549,883.8943889377022
b0034,57.14823650662926,49.00168342719999,59.89706078510258,46.22826645886408
b0035,3.828734483219055,6.0784575608767915,4.099268619741254,4.943831870496144
b0036,1.6380847636437703,2.909267441919023,2.7089351408933693,3.1850317984285557
b0037,7.56233634741558,8.564581487341465,5.950453391672713,6.289030363712406
b0038,5.803971491278161,5.723007224144159,5.1104749835856556,5.230135454136423
b0039,10.068284246124264,10.62818681678156,8.157873408594396,9.371449165194912
b0040,1.6620919121274738,1.825458860745839,1.644811531300717,2.1336204577033318
b0041,1.8673318180651237,4.568423322716355,1.9502815852732793,3.227542146660765
b0042,2.4197724666769336,2.0620553496238854,2.6851861868027824,2.5627251994495746
b0043,2.1690783770350794,1.9716939974399255,2.707848722266499,2.4297660623949198
b0044,1.5804803690034965,2.7369038987244414,2.6959886618283067,2.2778534183670627
b0045,1.3765274951303719,1.56331989864803,1.825075564701611,1.368390174289623
b0046,26.816597090122592,30.674546504746342,20.087058838724435,19.25092339426257
b0047,23.254533311321133,21.943526258486557,17.255272975106994,18.317897531555758
b0048,98.8689092505918,114.59345748135301,122.6023870387906,138.24145711530105
b0049,79.33379851509163,81.99778348065773,53.436830921079576,55.57025275015976
b0050,118.64392409782988,128.04204937603373,89.19141042265065,96.08852101015084
b0051,211.49810854956158,210.34118725457722,160.54672905776948,169.34086496316039
b0052,167.33387357328732,189.46976766355988,119.90422326434869,138.91523443557213
b0053,402.64337148412415,418.63407985356565,333.93562029601134,339.28265042917377
