Gene	Reactions	Growth	Production rate
b3553	GLYCLTDx;HPYRRx;HPYRRy;GLYCLTDy	0.9219480950504669	0.0
b0347		0.9219480950504488	0.0
b3957	ACODA;NACODA	0.0	0.0
b0004	THRS	0.921948095050404	0.0
b0430	CYTBO3	0.8250406561244944	0.004845662668614845
b4266	5DGLCNR	0.9219480950504338	0.0
b2143	DCYTD;CYTD	0.921948095050461	0.0
b2066	CYTDK2;URIK2	0.9219480950504679	0.0
b1519		0.9219480950504488	0.0
b2836	AACPS1;AACPS2;AACPS5;AACPS4;AACPS3	0.9219480950504757	0.0
b1276	MICITDr;ACONT	0.0	0.0
b0118	MICITDr;ACONT	0.0	0.0
