Gene	Reactions	Growth	Production rate
b1241	ALCD2x;ACALD	0.18339201877934264	0.10000000000000295
b0351	ACALD	0.1833920187793427	0.10000000000000009
s0001	ACALDt;CO2t;NH4t;O2t;H2Ot	0.0	0.0
b1849	ACKr	0.1305488991306018	1.0595702832335372
b3115	ACKr	0.1305488991306018	1.0595702832335372
b2296	ACKr	0.1305488991306018	1.0595702832335372
b1276	ACONTb;ACONTa	0.0	0.703530907668231
b0118	ACONTb;ACONTa	0.0	0.703530907668231
b0474	ADK1	0.18339201877934255	0.1
b0116	PDH;AKGDH	0.1431396135574392	0.0
b0727	AKGDH	0.18339201877934266	0.09999999999999992
b0726	AKGDH	0.18339201877934266	0.09999999999999992
b2587	AKGt2r	0.18339201877934258	0.09999999999999787
b0356	ALCD2x	0.18339201877934275	0.10000000000000257
b1478	ALCD2x	0.18339201877934275	0.10000000000000257
b3734	ATPS4r	0.0	0.40771034385324106
b3733	ATPS4r	0.0	0.40771034385324106
b3736	ATPS4r	0.0	0.40771034385324106
b3737	ATPS4r	0.0	0.40771034385324106
b3739	ATPS4r	0.0	0.40771034385324106
b3738	ATPS4r	0.0	0.40771034385324106
b3735	ATPS4r	0.0	0.40771034385324106
b3731	ATPS4r	0.0	0.40771034385324106
b3732	ATPS4r	0.0	0.40771034385324106
b0720	CS	0.0	0.703530907668231
b0733	CYTBD	0.0	0.0
b0734	CYTBD	0.0	0.0
b0979	CYTBD	0.0	0.0
b0978	CYTBD	0.0	0.0
b3603	D_LACt2	0.18339201877934275	0.10000000000000053
b2975	D_LACt2	0.18339201877934275	0.10000000000000053
b2779	ENO	0.0	0.0
b2925	FBA	0.04837237840628775	0.0
b1773	FBA	0.04837237840628775	0.0
b2097	FBA	0.04837237840628775	0.0
b3925	FBP	0.1833920187793427	0.09999999999999998
b4232	FBP	0.1833920187793427	0.09999999999999998
b2492	FORt;FORt2	0.18339201877934277	0.10000000000000231
b0904	FORt;FORt2	0.18339201877934277	0.10000000000000231
b4152	FRD7	0.18339201877934266	0.10000000000000098
b4154	FRD7	0.18339201877934266	0.10000000000000098
b4153	FRD7	0.18339201877934266	0.10000000000000098
b4151	FRD7	0.18339201877934266	0.10000000000000098
b1611	FUM	0.18339201877934266	0.1
b4122	FUM	0.18339201877934266	0.1
b1612	FUM	0.18339201877934266	0.1
b3528	SUCCt2_2;MALt2_2;FUMt2_2	0.18339201877934275	0.09999999999999949
b1852	G6PDH2r	0.16973569089409138	0.1
b1779	GAPD	0.0	0.0
b1297	GLNS	0.0	0.1
b3870	GLNS	0.0	0.1
b0809	GLNabc	0.1833920187793425	0.10000000000000318
b0811	GLNabc	0.1833920187793425	0.10000000000000318
b0810	GLNabc	0.1833920187793425	0.10000000000000318
b1761	GLUDy	0.17160182121545767	0.12209365121496407
b1524	GLUN	0.18339201877934264	0.10000000000000053
b0485	GLUN	0.18339201877934264	0.10000000000000053
b1812	GLUN	0.18339201877934264	0.10000000000000053
b3213	GLUSy	0.1833920187793427	0.10000000000000665
b3212	GLUSy	0.1833920187793427	0.10000000000000665
b4077	GLUt2r	0.1833920187793426	0.10000000000000073
b2029	GND	0.1697356908940914	0.09999999999999942
b0875	H2Ot	0.05835995234799785	0.0
b1136	ICDHyr	0.0	0.3737614925665098
b4015	ICL	0.18339201877934266	0.10000000000000009
b1380	LDH_D	0.1833920187793426	0.10000000000000034
b2133	LDH_D	0.1833920187793426	0.10000000000000034
b4014	MALS	0.18339201877934258	0.10000000000000009
b2976	MALS	0.18339201877934258	0.10000000000000009
b3236	MDH	0.1833920187793427	0.09999999999999942
b1479	ME1	0.18339201877934236	0.09999999999998943
b2463	ME2	0.18339201877934264	0.09999999999999787
b2281	NADH16	0.0	0.0
b2277	NADH16	0.0	0.0
b2280	NADH16	0.0	0.0
b2286	NADH16	0.0	0.0
b2287	NADH16	0.0	0.0
b2284	NADH16	0.0	0.0
b2276	NADH16	0.0	0.0
b2282	NADH16	0.0	0.0
b2279	NADH16	0.0	0.0
b2283	NADH16	0.0	0.0
b2285	NADH16	0.0	0.0
b2288	NADH16	0.0	0.0
b2278	NADH16	0.0	0.0
b1603	NADTRHD;THD2	0.18339201877934264	0.09999999999999987
b3962	NADTRHD	0.18339201877934258	0.10000000000000084
b1602	NADTRHD;THD2	0.18339201877934264	0.09999999999999987
b0451	NH4t	0.0	0.4436583039906101
b0114	PDH	0.1392519737848109	0.0
b0115	PDH	0.1392519737848109	0.0
b3916	PFK	0.07908281552057779	0.0
b1723	PFK	0.07908281552057779	0.0
b3114	PFL	0.18339201877934258	0.10000000000000339
b2579	PFL	0.18339201877934258	0.10000000000000339
b3951	PFL	0.18339201877934258	0.10000000000000339
b0902	PFL	0.18339201877934258	0.10000000000000339
b3952	PFL	0.18339201877934258	0.10000000000000339
b0903	PFL	0.18339201877934258	0.10000000000000339
b4025	PGI	0.17576889126279346	0.0
b2926	PGK	0.0	0.0
b0767	PGL	0.1697356908940914	0.1
b3612	PGM	0.0	0.0
b4395	PGM	0.0	0.0
b0755	PGM	0.0	0.0
b3493	PIt2r	0.0	0.09999999999999964
b2987	PIt2r	0.0	0.09999999999999964
b3956	PPC	0.18053783354600192	0.09999999999999831
b3403	PPCK	0.18339201877934272	0.10000000000000031
b1702	PPS	0.18339201877934264	0.1
b2297	PTAr	0.1305488991306018	1.0595702832335372
b2458	PTAr	0.1305488991306018	1.0595702832335372
b1676	PYK	0.16275011666744565	0.1
b1854	PYK	0.16275011666744565	0.1
b3386	RPE	0.17129041805529724	0.09999999999999964
b4301	RPE	0.17129041805529724	0.09999999999999964
b2914	RPI	0.0	0.09999999999999964
b4090	RPI	0.0	0.09999999999999964
b0721	SUCDi	0.18339201877934264	0.09999999999999964
b0722	SUCDi	0.18339201877934264	0.09999999999999964
b0724	SUCDi	0.18339201877934264	0.09999999999999964
b0723	SUCDi	0.18339201877934264	0.09999999999999964
b0729	SUCOAS	0.18339201877934272	0.0999999999999993
b0728	SUCOAS	0.18339201877934272	0.0999999999999993
b0008	TALA	0.17050604992396193	0.09999999999999998
b2464	TALA	0.17050604992396193	0.09999999999999998
b2465	TKT2;TKT1	0.0	0.1
b2935	TKT2;TKT1	0.0	0.1
b3919	TPI	0.04837237840628775	0.0
